Young_Age	Old_Age	Chron
0	0.78	1n
0.99	1.07	1r.1n
1.77	1.95	2n
2.14	2.15	2r.1n
2.581	3.04	2An.1n
3.11	3.22	2An.2n
3.33	3.58	2An.3n
4.18	4.29	3n.1n
4.48	4.62	3n.2n
4.8	4.89	3n.3n
4.98	5.23	3n.4n
5.894	6.137	3An.1n
6.269	6.567	3An.2n
6.935	7.091	3Bn
7.135	7.17	3Br.1n
7.341	7.375	3Br.2n
7.432	7.562	4n.1n
7.65	8.072	4n.2n
8.225	8.257	4r.1n
8.699	9.025	4An
9.23	9.308	4Ar.1n
9.58	9.642	4Ar.2n
9.74	9.88	5n.1n
9.92	10.949	5n.2n
11.052	11.099	5r.1n
11.476	11.531	5r.2n
11.935	12.078	5An.1n
12.184	12.401	5An.2n
12.678	12.708	5Ar.1n
12.775	12.819	5Ar.2n
12.991	13.139	5AAn
13.302	13.51	5ABn
13.703	14.076	5ACn
14.178	14.612	5ADn
14.8	14.888	5Bn.1n
15.034	15.155	5Bn.2n
16.014	16.293	5Cn.1n
16.327	16.488	5Cn.2n
16.556	16.726	5Cn.3n
17.277	17.615	5Dn
18.281	18.781	5En
19.048	20.131	6n
20.518	20.725	6An.1n
20.996	21.32	6An.2n
21.768	21.859	6AAn
22.151	22.248	6AAr.1n
22.459	22.493	6AAr.2n
22.588	22.75	6Bn.1n
22.804	23.069	6Bn.2n
23.353	23.535	6Cn.1n
23.677	23.8	6Cn.2n
23.999	24.118	6Cn.3n
24.73	24.781	7n.1n
24.835	25.183	7n.2n
25.496	25.648	7An
25.823	25.951	8n.1n
25.992	26.554	8n.2n
27.027	27.972	9n
28.283	28.512	10n.1n
28.578	28.745	10n.2n
29.401	29.662	11n.1n
29.765	30.098	11n.2n
30.479	30.939	12n
33.058	33.545	13n
33.545	34.655	13r
34.655	34.94	15n
35.343	35.526	16n.1n
35.685	36.341	16n.2n
36.618	37.473	17n.1n
37.604	37.848	17n.2n
37.92	38.113	17n.3n
38.426	39.552	18n.1n
39.631	40.13	18n.2n
41.257	41.521	19n
42.536	43.789	20n
46.264	47.906	21n
49.037	49.714	22n
50.778	50.946	23n.1n
51.047	51.743	23n.2n
52.364	52.663	24n.1n
52.757	52.801	24n.2n
52.903	53.347	24n.3n
53.347	55.904	24r
55.904	56.391	25n
57.554	57.911	26n
60.92	61.276	27n
62.499	63.634	28n
63.976	64.745	29n
64.745	65.578	29r
65.578	67.61	30n
67.735	68.737	31n
71.071	71.338	32n.1n
71.587	73.004	32n.2n
73.291	73.374	32r.1n
73.619	79.075	33n
83	118	34n
