Chron	Young_Age	Old_Age
1n	0	0.781
1r.1n	0.988	1.072
2n	1.778	1.945
2r.1n	2.128	2.148
2An.1n	2.581	3.032
2An.2n	3.116	3.207
2An.3n	3.33	3.596
3n.1n	4.187	4.3
3n.2n	4.493	4.631
3n.3n	4.799	4.896
3n.4n	4.997	5.235
3An.1n	6.033	6.252
3An.2n	6.436	6.733
3Bn	7.14	7.212
3Br.1n	7.251	7.285
3Br.2n	7.454	7.489
4n.1n	7.528	7.642
4n.2n	7.695	8.108
4r.1n	8.254	8.3
4An	8.769	9.098
4Ar.1n	9.312	9.409
4Ar.2n	9.656	9.717
5n.1n	9.779	9.934
5n.2n	9.987	11.04
5r.1n	11.118	11.154
5r.2n	11.554	11.614
5An.1n	12.014	12.116
5An.2n	12.207	12.415
5Ar.1n	12.73	12.765
5Ar.2n	12.82	12.878
5AAn	13.015	13.183
5ABn	13.369	13.605
5ACn	13.734	14.095
5ADn	14.194	14.581
5Bn.1n	14.784	14.877
5Bn.2n	15.032	15.16
5Cn.1n	15.974	16.268
5Cn.2n	16.303	16.472
5Cn.3n	16.543	16.721
5Dn	17.235	17.533
5En	18.056	18.524
6n	18.748	19.722
6An.1n	20.04	20.213
6An.2n	20.439	20.709
6AAn	21.083	21.159
6AAr.1n	21.403	21.483
6AAr.2n	21.659	21.688
6Bn.1n	21.767	21.936
6Bn.2n	21.992	22.268
6Cn.1n	22.564	22.754
6Cn.2n	22.902	23.03
6Cn.3n	23.249	23.375
7n.1n	24.044	24.102
7n.2n	24.163	24.556
7An	24.915	25.091
8n.1n	25.295	25.444
8n.2n	25.492	26.154
9n	26.714	27.826
10n.1n	28.186	28.45
10n.2n	28.525	28.715
11n.1n	29.451	29.74
11n.2n	29.853	30.217
12n	30.627	31.116
13n	33.266	33.738
13r	33.738	34.782
15n	34.782	35.043
16n.1n	35.404	35.567
16n.2n	35.707	36.276
17n.1n	36.512	37.235
17n.2n	37.345	37.549
17n.3n	37.61	37.771
18n.1n	38.032	38.975
18n.2n	39.041	39.464
19n	40.439	40.671
20n	41.59	42.774
21n	45.346	47.235
22n	48.599	49.427
23n.1n	50.73	50.932
23n.2n	51.057	51.901
24n.1n	52.648	53.004
24n.2n	53.116	53.167
24n.3n	53.286	53.808
24r	53.808	56.665
25n	56.665	57.18
26n	58.379	58.737
27n	61.65	61.983
28n	63.104	64.128
29n	64.432	65.118
29r	65.118	65.861
30n	65.861	67.696
31n	67.809	68.732
32n.1n	70.961	71.225
32n.2n	71.474	72.929
32r.1n	73.231	73.318
33n	73.577	79.543
34n	84	118
