MovingPlate	FixedPlate	EndChron	EndAge	RotLat	RotLong	RotAng	Kappahat	a	b	c	d	e	f	Points	Segs	Plates	DOF	Source
911	901	1o	0.78	52.7	-88.6	-1.034	1	3.60E-08	5.46E-08	2.43E-08	2.14E-07	6.24E-08	6.78E-08	15	1	2	10	De Mets et al. 2010 (N from supplementary
911	901	3a	6.57	-54.38	85.34	9.68	0.17	6.06E-07	1.32E-06	6.81E-07	5.07E-06	2.48E-06	1.30E-06	48	3	2	39	Wilder 2003 Thesis
911	901	4a	8.86	-58.23	86.36	13.18	0.25	6.93E-07	1.49E-06	7.91E-07	6.87E-06	3.40E-06	1.80E-06	43	3	2	34	Wilder 2003 Thesis
911	901	5o	10.95	-60.01	86.73	16.86	0.34	6.69E-07	1.22E-06	6.48E-07	7.01E-06	3.30E-06	1.65E-06	42	3	2	33	Wilder 2003 Thesis
911	901	5aa	13.07	-62	87.21	19.63	0.29	5.20E-07	6.46E-07	3.72E-07	4.20E-06	1.90E-06	9.64E-07	44	3	2	35	Wilder 2003 Thesis
911	901	5b	15.1	-64.52	83.61	23.1	0.29	8.48E-07	1.46E-06	7.96E-07	9.44E-06	4.35E-06	2.19E-06	30	3	2	21	Wilder 2003 Thesis
911	901	5d	17.45	-72.22	89.27	26.49	0.07	1.67E-06	1.72E-06	1.33E-06	1.13E-05	6.07E-06	3.55E-06	28	3	2	19	Wilder 2003 Thesis
911	901	6B.2o	23	73.53	-92.61	-31.08	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
911	901	13y	33.1	76.1	-110.7	-45.27	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
911	901	18.2o	40.1	82.19	-122.97	-52.24	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
911	901	21o	47.9	85.24	-160.16	-62.78	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
911	901	25y	55.9	84.28	135.44	-71.47	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
911	901	31y	67.7	82.93	125.82	-80.17	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
911	901	34y	83.5	81.35	119.76	-93.37	1	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	1.00E-15	100	NA	NA	50	Muller et al 2008
802	709	1o	0.78	11.2	-56.7	0.109	1	1.47E-08	2.66E-08	-1.62E-08	5.89E-08	-3.54E-08	2.60E-08	31	6	2	16	Demets et al 2010
802	709	2A.2n	3.22	7.9	-44.1	0.428	1	7.90E-10	8.80E-10	-8.20E-10	1.49E-09	-1.22E-09	1.15E-09	64	1	4	53	Horner-Johnson et al. 2005
802	709	A5	10.95	14.6	-49.1	1.53	1	2.21E-08	2.36E-08	-9.20E-09	3.04E-08	-1.67E-08	2.45E-08	152	24	2	101	LeMaux et al. 2002
802	709	A6 (6o)	20.13	10.8	-46	2.7	1	1.03E-07	8.83E-08	-2.34E-08	1.76E-07	-1.35E-07	2.24E-07	48	6	2	33	Patriat et al. 2008
