"REFNO","ROCKUNITNO","ROCKNAME","PLACE","CONTINENT","TERRANE","RLAT","RLONG","ROCKTYPE","STRATA","STRATAGE","LATSPREAD","LOWAGE","HIGHAGE","METHOD","ISOTOPEDATA","STRUCTURE","STATUS"
"1141","1","Basalts, Wadi Abu Tereifiya","Egypt","Africa",,"30.0","32.0999985","extrusives, basalt","Middle Eocene","E2",,"37","50","stratigraphic",,,
"1141","2","Basalts, Mandisha, Baharia Oasis","Egypt","Africa",,"28.3999996","28.8999996","extrusives, basalt","Overlies Bahariya formation, post Upper Eocene","E2-N1",,"5","37","stratigraphic",,,
"1141","3","Diorite dykes, Wadi Abu Shihat","Egypt","Africa",,"26.2999992","33.2000008","intrusives, dykes","dykes cut basement granites","J-K?",,"65","200","magnetic",,,
"1142","4","Ingleside Formation","Colorado, U.S.A.","North America","Colorado Plateau","40.7999992","-105.199997","sediments, sandstones, carbonates","Underlain by Pennsylvanian, overlain by Permian sediments.","P1","70m thickness","271","299","fossils",,"Strike 008/Dip 16 E",
"1143","5","Vaster-Norrland dolerites","Sweden","Europe","Baltica","62.9000015","18.2999992","intrusives, dolerite","Ulvo Complex intrusives-intrude Nordingra Sst,Granite,Gabbro","MP",,"1213","1270","K-Ar","K-Ar age 1213-1270 Ma","Mineral layering regarded as primary.",
"1144","6","Amana-Talampaya Formation","Argentina","South America",,"-30.0","-67.0","sediments, redbeds","Upper section of Paganzo Group, formerly Paganzo III.","P3-T1",,"245","260","stratigraphic",,"Av. Strike 52/Dip 13 SE.",
"1144","7","La Colina Formation","Argentina","South America",,"-30.0","-67.0","sediments, extrusives","Section II, Paganzo Group (formerly Paganzo II).","C2",,"299","318","stratigraphic,isotopic","K-Ar lavas (295+/-5)","Av. Strike 001/Dip 18 E",
"1145","8","Proterozoic granites","Kenya","Africa",,"0.0","34.7999992","intrusives, granite",,"PP",,"2426","2526","Rb-Sr","Rb-Sr 2476+/-50, K-Ar hornblende 2530+/-100.",,
"1146","9","Redbeds, Montmartin syncline","Normandy, France","Europe",,"49.0","-1.29999995","sediments, redbeds","Hyenville Fm(>Devonian)cor.redbeds Pluorivo,Erquy,Cap Frehel","O1?",,"416","488","fossils",,,"Superseded study"
"1146","10","Redbeds and Volcanics, Paimpol-Brehec","Brittany, France","Europe",,"48.7000008","-3.0","sediments, redbeds, extrusives","Redbeds and intercalated trachyandesite flow and dykes","O1-2",,"458","480","Rb-Sr","Rb-Sr 472+/-8, K-Ar 345 (reset)",,
"1146","11","Redbeds, Erquy-Cap Frehel","Brittany, France","Europe",,"48.5999985","-2.4000001","sediments, redbeds","Age based on correlation across Bay of St Brieux","O1",,"472","492","Rb-Sr","Rb-Sr isochron 482+/-10Ma",,
"1146","12","Redbeds, Zone Bocaine","Normandy, France","Europe",,"49.0","-1.0","sediments, redbeds",,"CB1-O3",,"444","542","stratigraphic",,"Strikes 73-302/Dips 45-80",
"1146","13","Redbeds, Paimpol-Brehec","Normandy, France","Europe",,"48.7000008","-3.0","sediments, redbeds",,"CB3-O1",,"472","501","stratigraphic",,,
"1147","14","Seton Formation, Kahochella Group","Northwest Territories, Canada","North America","Slave Province","62.0","-112.099998","sediments,redbeds,extrusives,andesites","Great Slave Supergroup","PP",,"1820","1840","Rb-Sr","Rb-Sr age 1830+/-10Ma","Strikes 70-90/Dips 10-20",
"1147","15","Douglas Peninsula Formation, Pethei Group","Northwest Territories, Canada","North America",,"62.7999992","-110.300003","sediments, redbeds","Lowest Unit, overlies Seton Fmtn(ROCKUNIT 14,RESULTNO 14)","PP","Thickness 25m","1730","1790","stratigraphic + APWP","<= 1830+/-10Ma (Rb-Sr underlying Seton Formation)","Southerly dip of 7 deg.",
"1147","16","Takiyuak Formation","Northwest Territories, Canada","North America","Coronation Geosyncline","66.0999985","-113.099998","sediments, redbeds","Epworth Group,younger than Douglas Peninsula Fn(ROCKUNIT 15)","PP","12km,thick 400m","1720","1780","stratigraphic,Rb-Sr","<=1760 from age of Peninsular Sill(ROCKUNIT 17)","Strike 152/Dip 10 SW",
"1147","17","Peninsular Sill","Northwest Territories, Canada","North America","Coronation Geosyncline","66.1999969","-113.0","intrusives, gabbro","Intrudes Epworth Group","PP","Thickness 40m","1730","1790","Rb-Sr","Rb-Sr 1760","Strike 152/Dip 10 SW",
"1148","18","Quartz-magnetites","Andhra Pradesh, India","Asia","Singhbhum-Orissa","18.5","79.0999985","intrusives, quartz-magnetite",,"NA-PP",,"2495","2575","Rb-Sr","Rb-Sr 2535+/-40Ma",,
"1149","19","John O'Groats Sandstone","Scotland, U.K.","Europe",,"58.5","-3.0","sediments, redbeds","Overlies Flagstone Grp(middle ORS),uppermost DM(fossil fish)","D2",,"385","392","fossils",,"Strikes 253-350/Dips 6-47",
"1150","20","Central Lewisian dykes","Scotland, U.K.","Europe",,"56.0","-5.0","intrusives, dykes",,"PP",,"1625","1650","K-Ar","K-Ar 1625-1650",,
"1151","21","Fongen Hyllingen gabbro complex","Norway","Europe",,"63.0999985","11.6000004","intrusives, gabbro","Inclusions of folded country rocks, synorogenic(SU finish).","S3-4",,"416","423","stratigraphic",,"Strikes 86-188/Dips 20-31,post one folding phase.",
